RT,SERIALNO,SPORDER,PUMA00,PUMA10,ST,ADJINC,PWGTP,AGEP,MAR,RELP,SCH,SCHL,SEX,WAGP,ESR,HISP,INDP,MSP,OC,OCCP10,PERNP,PINCP,RAC1P,RC
P,2.01E+12,1,1502,-9,22,1094136,23,31,5,0,1,24,1,45000,1,1,7870,6,0,2200,45000,45000,1,0
P,2.01E+12,1,1402,-9,22,1094136,20,70,1,0,1,18,2,0,6,1,,1,0,,0,43900,1,0
P,2.01E+12,2,1402,-9,22,1094136,19,84,1,1,1,20,1,0,6,1,,1,0,,0,29040,1,0
P,2.01E+12,1,1600,-9,22,1094136,24,62,3,0,1,17,1,0,6,1,,4,0,,0,26610,1,0
P,2.01E+12,1,1300,-9,22,1094136,17,49,3,0,2,21,2,1400,1,1,9570,4,0,5310,1400,13400,2,0
P,2.01E+12,1,1402,-9,22,1094136,11,82,1,0,1,22,1,25000,1,1,4195,1,0,9130,24550,52700,1,0
P,2.01E+12,2,1402,-9,22,1094136,12,73,1,1,1,20,2,0,6,1,,1,0,,0,14400,1,0
P,2.01E+12,1,1502,-9,22,1094136,44,30,4,0,1,20,1,10000,3,1,8680,5,0,4020,10000,10000,2,0
P,2.01E+12,2,1502,-9,22,1094136,33,10,5,2,2,8,1,,,24,,,1,,,,2,1
P,2.01E+12,3,1502,-9,22,1094136,32,10,5,2,2,8,1,,,24,,,1,,,,2,1
P,2.01E+12,4,1502,-9,22,1094136,45,6,5,2,2,3,2,,,1,,,1,,,,2,1
P,2.01E+12,1,1401,-9,22,1094136,20,48,1,0,1,19,1,45000,1,1,7790,1,0,6720,45000,45000,2,0
P,2.01E+12,2,1401,-9,22,1094136,13,47,1,1,1,20,2,47000,1,1,6990,1,0,740,47000,47000,2,0
P,2.01E+12,3,1401,-9,22,1094136,17,13,5,2,2,10,2,,,1,,,1,,,,2,1
P,2.01E+12,1,1501,-9,22,1094136,11,80,1,0,2,17,2,0,6,1,,1,0,,0,8100,2,0
